Video ID number,Main entry gloss label,Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file
2048,CHEAT,3,B-L,3,B-L,ASL_2011_06_08_Brady_scene26-camera1.mov
2049,CHEAT,3,B-L,3,B-L,ASL_2006_10_10_scene5-camera1.mov
2050,CHEAT,V,B-L,V,B-L,ASL_2007_05_24_scene9-camera1.mov
723,CHECK,X-over-thumb,B-L,X-over-thumb,B-L,ASL_2008_08_04_scene46-camera1.mov
2051,CHECK,1,B-L,1,B-L,ASL_2008_01_11_scene72-camera1.mov
2052,CHECK,1,B-L,1,B-L,ASL_2008_05_12a_scene44-camera1.mov
2053,CHECK,1,B-L,1,B-L,ASL_2008_08_04_scene45-camera1.mov
2054,CHECK,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene26-camera1.mov
2055,CHECK_LIST,1,B-L,1,B-L,ASL_2008_01_11_scene72-camera1.mov
2056,CHECK_LIST,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene27-camera1.mov
2057,CHECK_LIST,1,B-L,1,B-L,ASL_2008_05_12a_scene44-camera1.mov
2058,CHECKERS,C,,C,,ASL_2008_01_11_scene72-camera1.mov
2060,CHECKING-ACCOUNT,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2008_01_11_scene72-camera1.mov
2061,CHECKING-ACCOUNT,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2008_05_12a_scene44-camera1.mov
2062,CHEESE,5,5,5,5,ASL_2008_01_11_scene73-camera1.mov
2063,CHEESE,crvd-5,5,crvd-5,5,ASL_2008_05_12a_scene44-camera1.mov
2064,CHEESE,crvd-5,5,crvd-5,5,ASL_2008_08_04_scene46-camera1.mov
2065,CHEESE,5,5,5,5,ASL_2011_06_08_Brady_scene27-camera1.mov
2066,CHEESE,5,5,5,5,ASL_2006_10_10_scene5-camera1.mov
2067,CHEESE,5,B-L,5,B-L,ASL_2007_05_24_scene9-camera1.mov
2068,CHEMISTRY,C,C,C,C,ASL_2008_01_11_scene73-camera1.mov
2069,CHEMISTRY,C,C,C,C,ASL_2008_05_12a_scene44-camera1.mov
2070,CHEMISTRY,C,C,C,C,ASL_2008_08_04_scene46-camera1.mov
2071,CHEMISTRY,C,C,C,C,ASL_2011_06_08_Brady_scene27-camera1.mov
2072,CHEMISTRY,C,C,C,C,ASL_2006_10_10_scene5-camera1.mov
2073,CHEMISTRY,C,C,C,C,ASL_2007_05_24_scene9-camera1.mov
2074,CHERISH,5-C,,S,,ASL_2008_02_29_scene46-camera1.mov
2075,CHERISH,crvd-5,,S,,ASL_2008_03_28_scene22-camera1.mov
2076,CHERISH,crvd-5,,S,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov
2077,CHERISH,crvd-5,,S,,ASL_2011_06_08_Brady_scene27-camera1.mov
2078,CHERISH,5-C-L,,S,,ASL_2011_07_19_Brady_scene98-camera1.mov
2079,CHERISH,5-C,,S,,ASL_2011_07_22_Brady_scene54-camera1.mov
8607,CHERISH,crvd-5,,S,,ASL_2011_07_22_Brady_scene10-camera1.mov
2080,CHERRY,O,1,O,1,ASL_2008_02_29_scene49-camera1.mov
2081,CHEST,5,,5,,ASL_2008_05_12a_scene44-camera1.mov
2082,CHEST,5,,5,,ASL_2008_08_04_scene46-camera1.mov
2083,CHEST,B-L,,B-L,,ASL_2008_01_11_scene73-camera1.mov
2084,CHEW,A,A,A,A,ASL_2008_08_04_scene46-camera1.mov
2085,CHEW,A,A,A,A,ASL_2011_07_22_Brady_scene40-camera1.mov
2086,CHEW,A,A,A,A,ASL_2008_01_11_scene74-camera1.mov
2087,CHEW,A,A,A,A,ASL_2011_06_08_Brady_scene27-camera1.mov
39487,BIRD+PECK,G,,baby-O,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov
39488,BIRD+PECK,L,,baby-O,B-L,ASL_2011_06_08_Brady_scene27-camera1.mov
158,CHILD,B-L,,B-L,,ASL_2008_01_11_scene74-camera1.mov
159,CHILD,B-L,,B-L,,ASL_2011_06_08_Brady_scene27-camera1.mov
2088,CHILD,B-L,,B-L,,ASL_2008_01_11_scene74-camera1.mov
2089,CHILD,B-L,,B-L,,ASL_2008_08_04_scene47-camera1.mov
2090,CHILD,B-L,,B-L,,ASL_2011_06_08_Brady_scene27-camera1.mov
2091,CHILD,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene47-camera1.mov
2092,CHILD,B-L,B-L,B-L,B-L,ASL_2008_05_12a_scene45-camera1.mov
2093,CHILD,B-L,B-L,B-L,B-L,ASL_2008_05_12a_scene45-camera1.mov
2094,CHIN,1,,1,,ASL_2008_01_11_scene75-camera1.mov
2095,CHIN,1,,1,,ASL_2008_08_04_scene47-camera1.mov
2096,CHIN,1,,1,,ASL_2011_06_08_Brady_scene27-camera1.mov
2097,CHIN,1,,1,,ASL_2008_05_12a_scene45-camera1.mov
2098,CHOCOLATE,C,B,C,B,ASL_2008_01_11_scene75-camera1.mov
2099,CHOCOLATE,C,psv,C,psv,ASL_2008_05_12a_scene45-camera1.mov
2100,CHOCOLATE,C,psv,C,psv,ASL_2008_08_04_scene47-camera1.mov
2101,CHOCOLATE,C,psv,C,psv,ASL_2011_06_08_Brady_scene27-camera1.mov
160,CHOKE,C,,C,,ASL_2008_01_11_scene76-camera1.mov
161,CHOKE,C,,C,,ASL_2008_05_12a_scene46-camera1.mov
2102,CHOKE,C,C,C,C,ASL_2008_01_11_scene76-camera1.mov
2103,CHOKE,C,C,C,C,ASL_2008_05_12a_scene46-camera1.mov
2104,CHOKE,C,C,C,C,ASL_2008_08_04_scene48-camera1.mov
2105,CHOKE,C,C,C,C,ASL_2011_06_08_Brady_scene27-camera1.mov
2106,CHOKE,C,C,C,C,ASL_2008_08_04_scene48-camera1.mov
2107,CHOOSE,open-F,5,F,5,ASL_2008_08_04_scene13-camera1.mov
2108,CHRIST,C,,C,,ASL_2008_05_12a_scene46-camera1.mov
2109,CHRIST,C,,C,,ASL_2011_06_08_Brady_scene27-camera1.mov
321,CHRISTMAS,C,psv,C,psv,ASL_2008_05_12a_scene46-camera1.mov
2110,CHRISTMAS,C,,C,,ASL_2008_08_04_scene48-camera1.mov
2111,CHRISTMAS,C,,C,,ASL_2011_06_08_Brady_scene27-camera1.mov
2112,CHRISTMAS,C,,C,,ASL_2006_10_10_scene5-camera1.mov
2113,CHRISTMAS,C,,C,,ASL_2007_05_24_scene9-camera1.mov
2114,CHRISTMAS,C,,C,,ASL_2008_01_11_scene76-camera1.mov
2115,CHURCH,C,psv,C,psv,ASL_2008_01_11_scene77-camera1.mov
2116,CHURCH,C,psv,C,psv,ASL_2008_05_12a_scene46-camera1.mov
2117,CHURCH,C,psv,C,psv,ASL_2008_08_04_scene48-camera1.mov
2118,CHURCH,C,crvd-sprd-B,C,crvd-sprd-B,ASL_2011_06_08_Brady_scene27-camera1.mov
2119,CHURCH,C,crvd-sprd-B,C,crvd-sprd-B,ASL_2006_10_10_scene5-camera1.mov
2120,CHURCH,C,B-xd,C,B-xd,ASL_2007_05_24_scene9-camera1.mov
2121,CIGAR,R,,R,,ASL_2008_01_11_scene77-camera1.mov
2122,CIGAR,R,,R,,ASL_2008_05_12a_scene46-camera1.mov
2123,CIGAR,R,,R,,ASL_2008_08_04_scene48-camera1.mov
2124,CIGAR,R,,R,,ASL_2011_06_08_Brady_scene27-camera1.mov
2125,CIGARETTE,horns,1,horns,1,ASL_2008_08_04_scene48-camera1.mov
2126,CIGARETTE,horns,1,horns,1,ASL_2008_01_11_scene77-camera1.mov
2127,CIGARETTE,horns,1,horns,1,ASL_2008_05_12a_scene46-camera1.mov
2128,CIGARETTE,horns,1,horns,1,ASL_2011_06_08_Brady_scene27-camera1.mov
2129,CIRCLE,1,,1,,ASL_2008_01_11_scene77-camera1.mov
2130,CIRCLE,1,,1,,ASL_2008_05_12a_scene47-camera1.mov
2131,CIRCLE,1,,1,,ASL_2011_06_08_Brady_scene27-camera1.mov
2132,CIRCUMCISE,10,10,10,10,ASL_2008_01_11_scene77-camera1.mov
2133,CIRCUMCISE,10,10,10,10,ASL_2008_05_12a_scene47-camera1.mov
2134,CIRCUMCISE,10,10,10,10,ASL_2011_06_08_Brady_scene27-camera1.mov
2135,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2008_01_18_scene1-camera1.mov
2136,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene1-camera1.mov
2137,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene1-camera1.mov
2138,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2008_05_12b_scene1-camera1.mov
2139,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2008_08_06_scene1-camera1.mov
2140,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene27-camera1.mov
2141,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene29-camera1.mov
2142,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2008_03_28_scene21-camera1.mov
2143,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2011_07_22_Brady_scene9-camera1.mov
2144,CITY/COMMUNITY,B-L,B-L,B-L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov
2145,CLASS,C,C,C,C,ASL_2010_08_10_Liz_additional_lexicon_signs_scene1-camera1.mov
2146,CLASS,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,ASL_2011_06_08_Brady_scene28-camera1.mov
2149,CLASS,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2006_10_10_scene5-camera1.mov
2150,CLASS,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2007_05_24_scene9-camera1.mov
2147,CLASS,C,C,C,C,ASL_2010_08_10_Liz_additional_lexicon_signs_scene1-camera1.mov
2148,CLASS,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2011_06_08_Brady_scene28-camera1.mov
39686,CLASS+BOX/ROOM,C,C,B-L,B-L,ASL_2008_01_11_scene78-camera1.mov
39687,CLASS+BOX/ROOM,C,C,B-L,B-L,ASL_2008_05_12a_scene47-camera1.mov
39688,CLASS+BOX/ROOM,5-C-L,5-C-L,B-L,B-L,ASL_2008_08_04_scene49-camera1.mov
39689,CLASS+BOX/ROOM,crvd-B,crvd-B,B-L,B-L,ASL_2011_06_14_Brady_scene3-camera1.mov
2151,CLEAR,O,O,5,5,ASL_2008_02_01_scene49-camera1.mov
2152,CLEAR,flat-O,flat-O,5,5,ASL_2008_06_10_scene1-camera1.mov
2153,CLEAR,O,O,5,5,ASL_2008_08_13_session2_scene4-camera1.mov
2154,CLEVER,25,,25,,ASL_2008_01_11_scene78-camera1.mov
2155,CLEVER,25,,25,,ASL_2008_05_12a_scene47-camera1.mov
2156,CLEVER,25,,25,,ASL_2008_08_04_scene49-camera1.mov
2157,CLEVER,25,,25,,ASL_2011_06_08_Brady_scene28-camera1.mov
2158,CLIMB,5,5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene31-camera1.mov
2159,CLIMBING-ROCKS,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_07_19_Brady_scene61-camera1.mov
2160,CLIP-NAILS,10,psv,A,psv,ASL_2008_01_11_scene79-camera1.mov
2161,CLIP-NAILS,10,B-L,A,B-L,ASL_2008_01_11_scene79-camera1.mov
2162,CLIP-NAILS,X-over-thumb,5,X-over-thumb,5,ASL_2008_05_12a_scene47-camera1.mov
2163,CLIP-NAILS,X-over-thumb,5,X-over-thumb,5,ASL_2008_08_04_scene49-camera1.mov
2164,CLIP-NAILS,10,5,10,5,ASL_2011_06_08_Brady_scene28-camera1.mov
2165,CLIP-NAILS,10,B-L,10,B-L,ASL_2011_06_08_Brady_scene28-camera1.mov
2166,CLIP-NAILS,10,1,A,1,ASL_2011_07_22_Brady_scene40-camera1.mov
41070,"TIME+DCL\circular object\""""",X,S,crvd-L,crvd-L,ASL_2008_01_11_scene79-camera1.mov
41071,"TIME+DCL\circular object\""""",X,S,crvd-L,crvd-L,ASL_2008_05_12a_scene48-camera1.mov
41072,"TIME+DCL\circular object\""""",X,S,crvd-L,crvd-L,ASL_2008_08_04_scene50-camera1.mov
41073,"TIME+DCL\circular object\""""",X,S,crvd-L,crvd-L,ASL_2011_06_14_Brady_scene3-camera1.mov
2171,CLOSE-DOOR,B,B,B,B,ASL_2008_01_11_scene79-camera1.mov
2172,CLOSE-DOOR,B,B,B,B,ASL_2008_05_12a_scene48-camera1.mov
2173,CLOSE-DOOR,B,B,B,B,ASL_2008_08_04_scene50-camera1.mov
2174,CLOSE-DOOR,B-xd,B-xd,B-xd,B-xd,ASL_2011_06_08_Brady_scene28-camera1.mov
2175,CLOSE-DOOR,B,B,B,B,ASL_2011_07_22_Brady_scene40-camera1.mov
2176,CLOSE-WINDOW,B-xd,flat-B,B-xd,flat-B,ASL_2008_01_11_scene79-camera1.mov
2177,CLOSE-WINDOW,B,B,B,B,ASL_2008_05_12a_scene48-camera1.mov
2178,CLOSE-WINDOW,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene50-camera1.mov
2179,CLOSE-WINDOW,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene28-camera1.mov
2180,CLOSE-WINDOW,bent-B,bent-B,bent-B,bent-B,ASL_2011_07_22_Brady_scene40-camera1.mov
2185,CLOWN,fanned-flat-O,,fanned-flat-O,,ASL_2008_01_11_scene77-camera1.mov
2186,CLOWN,fanned-flat-O,,fanned-flat-O,,ASL_2008_08_04_scene49-camera1.mov
2187,CLOWN,fanned-flat-O,,fanned-flat-O,,ASL_2011_06_08_Brady_scene27-camera1.mov
2188,COACH,C,,C,,ASL_2008_01_11_scene81-camera1.mov
2189,COACH,C,,C,,ASL_2008_05_12a_scene48-camera1.mov
2190,COACH,C,,C,,ASL_2008_08_04_scene50-camera1.mov
2191,COACH,C,,C,,ASL_2011_06_08_Brady_scene28-camera1.mov
2192,COAT,10,10,10,10,ASL_2008_01_11_scene81-camera1.mov
2193,COAT,10,10,10,10,ASL_2008_05_12a_scene48-camera1.mov
2194,COAT,A,A,A,A,ASL_2008_08_04_scene50-camera1.mov
2195,COAT,10,10,10,10,ASL_2011_06_08_Brady_scene28-camera1.mov
2196,COAT,10,10,10,10,ASL_2006_10_10_scene5-camera1.mov
2197,COAT,A,A,A,A,ASL_2007_05_24_scene9-camera1.mov
2198,COCAINE,10,,10,,ASL_2011_06_08_Brady_scene28-camera1.mov
2199,COCAINE,10,,10,,ASL_2011_06_08_Brady_scene28-camera1.mov
2200,COCAINE,10,,10,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene8-camera1.mov
2205,COCONUT,C,C,C,C,ASL_2008_01_11_scene82-camera1.mov
2206,COCONUT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_05_12a_scene49-camera1.mov
2207,COCONUT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene28-camera1.mov
2208,COFFEE,S,S,S,S,ASL_2008_01_11_scene82-camera1.mov
207843,COFFEE,S,S,S,S,ASL_2008_05_12a_scene49-camera1.mov
207844,COFFEE,S,S,S,S,ASL_2008_08_04_scene51-camera1.mov
207845,COFFEE,S,S,S,S,ASL_2011_06_08_Brady_scene28-camera1.mov
207846,COFFEE,S,S,S,S,ASL_2006_10_10_scene5-camera1.mov
207847,COFFEE,S,S,S,S,ASL_2007_05_24_scene9-camera1.mov
2214,COINS/CHANGE,F,B-L,F,B-L,ASL_2008_01_11_scene82-camera1.mov
2215,COINS/CHANGE,F,B-L,F,B-L,ASL_2008_05_12a_scene49-camera1.mov
2216,COINS/CHANGE,F,B-L,F,B-L,ASL_2008_08_04_scene51-camera1.mov
2217,COINS/CHANGE,F,B-L,F,B-L,ASL_2011_06_08_Brady_scene28-camera1.mov
2218,COLD,S,S,S,S,ASL_2008_01_11_scene82-camera1.mov
2219,COLD,S,S,S,S,ASL_2008_02_29_scene8-camera1.mov
2220,COLD,S,S,S,S,ASL_2008_05_12a_scene49-camera1.mov
2221,COLD,S,S,S,S,ASL_2008_08_04_scene51-camera1.mov
2222,COLD,S,S,S,S,ASL_2011_06_08_Brady_scene28-camera1.mov
2223,COLD,S,S,S,S,ASL_2011_07_19_Brady_scene53-camera1.mov
2224,COLD,S,S,S,S,ASL_2011_07_22_Brady_scene50-camera1.mov
2225,COLD,S,S,S,S,ASL_2006_09_26_scene61-camera1.mov
39696,COLD+DOOR,S,S,B,B,ASL_2010_08_10_Liz_additional_lexicon_signs_scene7-camera1.mov
39697,COLD+DOOR,S,S,B,B,ASL_2011_06_14_Brady_scene23-camera1.mov
2226,COLLAPSE,S,B,S,B,ASL_2008_05_12a_scene49-camera1.mov
2227,COLLAPSE,S,B-xd,S,B-xd,ASL_2011_06_08_Brady_scene28-camera1.mov
2228,COLLAR,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2008_01_11_scene83-camera1.mov
2229,COLLAR,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2008_08_04_scene51-camera1.mov
2230,COLLAR,G,G,G,G,ASL_2011_06_08_Brady_scene28-camera1.mov
2231,COLLAR,G,G,G,G,ASL_2011_07_22_Brady_scene40-camera1.mov
2233,COLLECT,crvd-5,B-L,A,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene27-camera1.mov
2234,COLLECT,bent-B-L,B-L,10,B-L,ASL_2008_05_12a_scene49-camera1.mov
2236,COLLECT,5,B-L,10,B-L,ASL_2008_08_04_scene51-camera1.mov
2237,COLLECT,crvd-5,B-L,10,B-L,ASL_2008_08_04_scene52-camera1.mov
207708,COLLECT,5,B-L,S,B-L,ASL_2011_06_08_Brady_scene33-camera1.mov
2238,COLLECT,crvd-B,B-L,10,B-L,ASL_2008_01_11_scene83-camera1.mov
2239,COLLECT,crvd-5,B-L,A,B-L,ASL_2011_06_08_Brady_scene28-camera1.mov
2240,COLLECT,5-C,B-L,S,B-L,ASL_2011_06_08_Brady_scene28-camera1.mov
207709,COLLECT,5,B-L,A,B-L,ASL_2011_07_22_Brady_scene44-camera1.mov
2241,COLLECT,crvd-B,B-L,10,B-L,ASL_2008_05_12a_scene50-camera1.mov
2242,COLLECT,5,B-L,crvd-B,B-L,ASL_2008_01_11_scene83-camera1.mov
2243,COLLECT,5,crvd-5,10,crvd-5,ASL_2008_02_01_scene19-camera1.mov
2244,COLLECT,5,B-L,10,B-L,ASL_2008_08_13_scene14-camera1.mov
2245,COLLECT,crvd-5,B-L,S,B-L,ASL_2011_06_14_Brady_scene32-camera1.mov
2246,COLLEGE,B-L,B-L,B-L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene1-camera1.mov
2247,COLLEGE,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene28-camera1.mov
2248,COLLEGE,B-L,B-L,B-L,B-L,ASL_2006_10_10_scene5-camera1.mov
2249,COLLEGE,B-L,B-L,B-L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene1-camera1.mov
2250,COLLEGE,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene28-camera1.mov
2251,COLOR,5,,5,,ASL_2008_01_11_scene83-camera1.mov
2252,COLOR,5,,5,,ASL_2008_05_12a_scene50-camera1.mov
2253,COLOR,5,,5,,ASL_2008_08_04_scene52-camera1.mov
2254,COLOR,5,,5,,ASL_2011_06_08_Brady_scene28-camera1.mov
2255,COMB,5-C-L,,5-C-L,,ASL_2008_01_11_scene84-camera1.mov
2256,COMB,5-C-L,,5-C-L,,ASL_2008_05_12a_scene50-camera1.mov
2257,COMB,5-C-L,,5-C-L,,ASL_2008_08_04_scene52-camera1.mov
2258,COMB,5-C-L,,5-C-L,,ASL_2008_08_04_scene52-camera1.mov
2259,COMB,5-C-L,,5-C-L,,ASL_2011_06_08_Brady_scene29-camera1.mov
2260,COMB,5-C-L,,5-C-L,,ASL_2008_01_11_scene84-camera1.mov
2261,COMB,5-C-L,,5-C-L,,ASL_2008_05_12a_scene50-camera1.mov
162,COME,1,,bent-1,,ASL_2008_01_11_scene84-camera1.mov
163,COME,1,,bent-1,,ASL_2008_05_12a_scene50-camera1.mov
164,COME,1,,bent-1,,ASL_2008_08_04_scene52-camera1.mov
165,COME,1,,bent-1,,ASL_2011_06_08_Brady_scene29-camera1.mov
279,COME,1,1,1,1,ASL_2008_01_18_scene1-camera1.mov
280,COME,1,1,1,1,ASL_2008_08_06_scene1-camera1.mov
281,COME,1,1,1,1,ASL_2011_06_08_Brady_scene29-camera1.mov
2262,COME,1,1,bent-1,bent-1,ASL_2008_01_11_scene84-camera1.mov
2263,COME,1,1,bent-1,bent-1,ASL_2008_05_12a_scene50-camera1.mov
2264,COME,bent-1,bent-1,bent-1,bent-1,ASL_2008_08_04_scene52-camera1.mov
2265,COME,1,1,bent-1,bent-1,ASL_2011_06_08_Brady_scene29-camera1.mov
2266,COME-ON,B-L,,crvd-B,,ASL_2008_01_11_scene84-camera1.mov
2267,COME-ON,5,,crvd-sprd-B,,ASL_2008_05_12a_scene50-camera1.mov
2268,COME-ON,5,,crvd-5,,ASL_2008_08_04_scene52-camera1.mov
2269,COME-ON,5,,bent-B,,ASL_2011_06_08_Brady_scene29-camera1.mov
2270,COME-ON,B-L,,bent-B-L,,ASL_2006_10_10_scene5-camera1.mov
2271,COMFORTABLE,crvd-B,crvd-flat-B,crvd-flat-B,crvd-B,ASL_2008_01_18_scene1-camera1.mov
2272,COMFORTABLE,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_08_06_scene1-camera1.mov
2273,COMFORTABLE,B-L,bent-B-L,B-L,bent-B-L,ASL_2008_05_12b_scene1-camera1.mov
2274,COMFORTABLE,B-L,crvd-B,bent-B-L,bent-B-L,ASL_2011_06_08_Brady_scene29-camera1.mov
2275,COMMITTEE,C,,C,,ASL_2008_01_18_scene1-camera1.mov
2276,COMMITTEE,C,,C,,ASL_2008_08_06_scene1-camera1.mov
2277,COMMITTEE,C,,C,,ASL_2011_06_08_Brady_scene29-camera1.mov
2278,COMMON-SENSE,C,,S,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene12-camera1.mov
2279,COMMON-SENSE,C,,S,,ASL_2011_06_08_Brady_scene29-camera1.mov
2280,COMMUNICATE,C,C,C,C,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov
2281,COMMUNICATE,5-C-L,5-C-L,5-C-L,5-C-L,ASL_2008_08_06_scene1-camera1.mov
2282,COMMUNICATE,C,C,C,C,ASL_2011_06_08_Brady_scene29-camera1.mov
2283,COMMUNICATE,C,C,C,C,ASL_2011_06_08_Brady_scene30-camera1.mov
2284,COMMUNICATE,C,C,C,C,ASL_2008_01_18_scene1-camera1.mov
2285,COMMUNICATE,C,C,C,C,ASL_2008_05_12b_scene1-camera1.mov
39702,COMMUNICATE+MISCOMMUNICATE,C,C,C,C,ASL_2008_06_10_scene16-camera1.mov
39703,COMMUNICATE+MISCOMMUNICATE,C,C,C,C,ASL_2011_07_19_Brady_scene3-camera1.mov
2286,COMMUNIST,1,C,1,C,ASL_2008_01_18_scene1-camera1.mov
207710,COMMUNIST,1,C,1,C,ASL_2008_08_06_scene1-camera1.mov
2288,COMMUNIST,1,C,1,C,ASL_2011_06_08_Brady_scene29-camera1.mov
2289,COMMUTE,10,,10,,ASL_2008_01_18_scene1-camera1.mov
2290,COMMUTE,10,,10,,ASL_2008_05_12b_scene1-camera1.mov
2291,COMMUTE,10,,10,,ASL_2008_08_06_scene1-camera1.mov
2292,COMMUTE,10,,10,,ASL_2011_06_08_Brady_scene29-camera1.mov
2293,COMPARE,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_01_18_scene1-camera1.mov
2294,COMPARE,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_05_12b_scene1-camera1.mov
2295,COMPARE,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_08_06_scene1-camera1.mov
2296,COMPARE,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2011_06_08_Brady_scene29-camera1.mov
2297,COMPETITION,A,A,A,A,ASL_2008_01_18_scene2-camera1.mov
2298,COMPETITION,A,A,A,A,ASL_2008_02_29_scene5-camera1.mov
2299,COMPETITION,A,A,A,A,ASL_2008_08_06_scene1-camera1.mov
2300,COMPETITION,10,10,10,10,ASL_2006_10_10_scene22-camera1.mov
2301,COMPETITION,A,10,A,10,ASL_2008_05_12b_scene1-camera1.mov
2302,COMPETITION,A,A,10,10,ASL_2011_06_08_Brady_scene29-camera1.mov
2303,COMPETITION,10,10,10,10,ASL_2011_07_19_Brady_scene50-camera1.mov
2304,COMPETITION,10,10,10,10,ASL_2007_05_24_scene25-camera1.mov
2306,COMPLAIN/OBJECT,C,,C,,ASL_2008_01_18_scene21-camera1.mov
207717,COMPLAIN/OBJECT,C,,C,,ASL_2008_08_06_scene21-camera1.mov
2307,COMPLAIN/OBJECT,5-C,,5-C,,ASL_2008_08_06_scene2-camera1.mov
2308,COMPLAIN/OBJECT,5-C,,5-C,,ASL_2011_06_08_Brady_scene29-camera1.mov
2309,COMPLAIN/OBJECT,5-C,,5-C,,ASL_2008_01_18_scene2-camera1.mov
2310,COMPLAIN/OBJECT,C,,C,,ASL_2011_06_08_Brady_scene36-camera1.mov
2311,COMPLAIN/OBJECT,5-C,,5-C,,ASL_2008_05_12b_scene2-camera1.mov
2312,COMPLICATED,1,1,X,X,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov
2313,COMPLICATED,1,1,X,X,ASL_2011_06_08_Brady_scene29-camera1.mov
2314,COMPUTER,C,psv,C,psv,ASL_2008_08_06_scene2-camera1.mov
2315,COMPUTER,C,B-L,C,B-L,ASL_2007_05_24_scene10-camera1.mov
2316,COMPUTER,C,psv,C,psv,ASL_2008_05_12b_scene2-camera1.mov
2317,COMPUTER,C,A,C,A,ASL_2011_06_08_Brady_scene29-camera1.mov
2318,COMPUTER,C,psv,C,psv,ASL_2006_10_10_scene6-camera1.mov
2319,COMPUTER,C,psv,C,psv,ASL_2008_01_18_scene2-camera1.mov
2320,COMPUTER,C,psv,C,psv,ASL_2008_01_18_scene2-camera1.mov
2321,CONCEPT,C,,C,,ASL_2008_01_18_scene2-camera1.mov
2322,CONCEPT,C,,C,,ASL_2008_05_12a_scene50-camera1.mov
2323,CONCEPT,C,,C,,ASL_2008_05_12b_scene2-camera1.mov
2324,CONCEPT,C,,C,,ASL_2008_08_06_scene2-camera1.mov
2325,CONCEPT,C,,C,,ASL_2011_06_08_Brady_scene29-camera1.mov
2326,CONCERN,25,25,25,25,ASL_2008_03_28_scene45-camera1.mov
2327,CONCERN,25,25,25,25,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov
2328,CONCERN,25,25,25,25,ASL_2011_06_08_Brady_scene29-camera1.mov
2329,CONCERN,25,25,25,25,ASL_2011_07_22_Brady_scene33-camera1.mov
2330,CONCERN,25,25,25,25,ASL_2011_07_22_Brady_scene57-camera1.mov
2331,CONCLUSION,C,B-xd,C,B-xd,ASL_2008_05_12b_scene2-camera1.mov
2332,CONDUCT-MUSIC,1,1,1,1,ASL_2008_01_18_scene2-camera1.mov
2333,CONDUCT-MUSIC,1,1,1,1,ASL_2008_08_06_scene2-camera1.mov
2334,CONDUCT-MUSIC,1,1,1,1,ASL_2011_06_08_Brady_scene29-camera1.mov
2335,CONDUCTOR,G,,G,,ASL_2008_01_18_scene2-camera1.mov
2336,CONDUCTOR,G,,G,,ASL_2008_08_06_scene2-camera1.mov
